|neg|neu|pos|compound
522|0.0|0.714|0.286|0.8555
523|0.0|0.408|0.592|0.4404
524|0.688|0.312|0.0|-0.296
525|0.688|0.312|0.0|-0.296
526|0.0|0.632|0.368|0.8462
527|0.688|0.312|0.0|-0.296
528|0.688|0.312|0.0|-0.296
529|0.688|0.312|0.0|-0.296
530|0.068|0.682|0.249|0.7269
531|0.688|0.312|0.0|-0.296
532|0.0|0.642|0.358|0.5994
533|0.0|0.444|0.556|0.3612
534|0.254|0.664|0.082|-0.6597
535|0.688|0.312|0.0|-0.296
536|0.0|0.83|0.17|0.5994
537|0.0|0.472|0.528|0.6808
538|0.313|0.47|0.217|-0.5719
539|0.0|0.484|0.516|0.7506
540|0.688|0.312|0.0|-0.296
541|0.0|0.528|0.472|0.9231
542|0.688|0.312|0.0|-0.296
543|0.688|0.312|0.0|-0.296
544|0.688|0.312|0.0|-0.296
545|0.688|0.312|0.0|-0.296
546|0.688|0.312|0.0|-0.296
547|0.688|0.312|0.0|-0.296
548|0.103|0.605|0.291|0.8126
549|0.688|0.312|0.0|-0.296
550|0.688|0.312|0.0|-0.296
551|0.688|0.312|0.0|-0.296
552|0.114|0.639|0.246|0.6987
553|0.688|0.312|0.0|-0.296
554|0.328|0.575|0.097|-0.842
555|0.0|1.0|0.0|0.0
556|0.253|0.46|0.287|0.0772
557|0.0|0.563|0.437|0.4767
558|0.02|0.68|0.3|0.967
559|0.688|0.312|0.0|-0.296
560|0.0|1.0|0.0|0.0
561|0.082|0.861|0.057|-0.033
562|0.116|0.687|0.197|0.928
563|0.053|0.699|0.248|0.705
564|0.688|0.312|0.0|-0.296
565|0.0|0.698|0.302|0.9805
566|0.0|0.417|0.583|0.8316
567|0.157|0.692|0.151|-0.2598
568|0.103|0.639|0.259|0.9794
569|0.688|0.312|0.0|-0.296
570|0.104|0.872|0.023|-0.81
