|Happy|Angry|Surprise|Sad|Fear|emotion
274|0.38|0.08|0.15|0.23|0.15|Happy
275|0.0|0.0|0.0|0.0|0.0|Happy
276|0.25|0.0|0.17|0.25|0.33|Fear
277|0.19|0.0|0.25|0.38|0.19|Sad
278|0.0|0.0|0.43|0.14|0.43|Surprise
279|0.43|0.13|0.04|0.13|0.26|Happy
280|0.0|0.0|0.0|0.0|0.0|Happy
281|0.08|0.04|0.28|0.24|0.36|Fear
282|0.5|0.0|0.5|0.0|0.0|Happy
283|0.0|0.0|0.0|0.0|0.0|Happy
284|0.03|0.12|0.38|0.24|0.24|Surprise
285|0.08|0.0|0.25|0.17|0.5|Fear
286|0.67|0.0|0.0|0.0|0.33|Happy
287|0.0|0.0|1.0|0.0|0.0|Surprise
288|0.14|0.05|0.2|0.16|0.45|Fear
289|0.04|0.04|0.35|0.27|0.29|Surprise
290|0.0|0.0|0.0|0.0|0.0|Happy
291|0.38|0.08|0.23|0.08|0.23|Happy
292|0.13|0.04|0.13|0.43|0.26|Sad
293|0.25|0.08|0.17|0.33|0.17|Sad
294|0.16|0.04|0.24|0.24|0.33|Fear
295|0.25|0.0|0.38|0.12|0.25|Surprise
296|0.08|0.0|0.25|0.25|0.42|Fear
297|0.0|1.0|0.0|0.0|0.0|Angry
298|0.0|0.0|0.25|0.5|0.25|Sad
299|0.0|0.0|0.0|0.0|0.0|Happy
300|0.0|0.0|0.33|0.67|0.0|Sad
301|0.04|0.05|0.11|0.34|0.45|Fear
302|0.0|0.0|0.4|0.6|0.0|Sad
303|0.33|0.0|0.0|0.44|0.22|Sad
304|0.33|0.25|0.17|0.0|0.25|Happy
305|0.09|0.0|0.18|0.18|0.55|Fear
306|0.0|0.0|0.0|0.0|0.0|Happy
307|0.1|0.1|0.2|0.5|0.1|Sad
308|0.25|0.12|0.12|0.21|0.29|Fear
309|0.2|0.0|0.2|0.5|0.1|Sad
310|0.0|0.25|0.5|0.0|0.25|Surprise
311|0.29|0.0|0.06|0.24|0.41|Fear
312|0.0|0.0|0.0|1.0|0.0|Sad
313|0.16|0.02|0.18|0.22|0.41|Fear
314|0.18|0.09|0.27|0.23|0.23|Surprise
315|0.19|0.05|0.29|0.29|0.19|Surprise
316|0.14|0.0|0.24|0.38|0.24|Sad
317|0.12|0.0|0.17|0.35|0.35|Sad
318|0.18|0.05|0.21|0.29|0.26|Sad
319|0.0|0.0|0.0|0.0|0.0|Happy
320|0.21|0.08|0.23|0.21|0.28|Fear
321|0.24|0.06|0.18|0.12|0.41|Fear
322|0.24|0.03|0.15|0.39|0.18|Sad
323|0.42|0.05|0.23|0.13|0.18|Happy
324|0.0|0.0|0.33|0.67|0.0|Sad
325|0.0|0.0|0.5|0.2|0.3|Surprise
326|0.16|0.02|0.22|0.31|0.29|Sad
327|0.24|0.0|0.29|0.38|0.1|Sad
328|0.33|0.0|0.33|0.21|0.12|Happy
329|0.0|0.0|0.0|0.0|0.0|Happy
330|0.0|0.0|0.0|0.5|0.5|Sad
331|0.0|0.12|0.24|0.29|0.35|Fear
332|0.14|0.0|0.29|0.43|0.14|Sad
333|0.0|0.0|0.0|0.0|0.0|Happy
334|0.14|0.05|0.27|0.23|0.32|Fear
335|0.36|0.27|0.09|0.0|0.27|Happy
336|0.18|0.16|0.27|0.14|0.24|Surprise
337|0.0|0.0|0.75|0.12|0.12|Surprise
338|0.24|0.02|0.15|0.29|0.29|Sad
339|0.24|0.35|0.18|0.18|0.06|Angry
340|0.28|0.02|0.28|0.17|0.26|Happy
341|0.0|0.17|0.17|0.33|0.33|Sad
342|0.27|0.07|0.2|0.2|0.27|Happy
343|0.0|0.0|0.0|0.0|0.0|Happy
344|0.23|0.0|0.23|0.54|0.0|Sad
345|0.14|0.07|0.29|0.29|0.21|Surprise
346|0.36|0.0|0.24|0.07|0.33|Happy
347|0.14|0.03|0.38|0.32|0.14|Surprise
348|0.4|0.2|0.3|0.0|0.1|Happy
349|0.15|0.09|0.2|0.23|0.34|Fear
350|0.07|0.06|0.3|0.26|0.31|Fear
351|0.0|0.0|0.2|0.2|0.6|Fear
